,DC,DATE,FM.NO,PRODUCT,Customer,No of Articles,actual,RATE,AIR SUR,TAX RATE,Postage,Postage Franked,ST,Tax 18%,TAX ON SC18%,S.charge,SC Per article,Weight
112,129,27.12.2023,P850968,ORD,CAMS HSBC,3824,5,5,,1.0,19120,22944.0,3824.0,3441.6,481.82399999999996,2676.7999999999997,0.7,yes
113,129,27.12.2023,P850968,ORD,CAMS HSBC,7,5,5,,1.0,35,42.0,7.0,6.3,0.8819999999999999,4.8999999999999995,0.7,yes
114,129,27.12.2023,P850983,SPEED,CAMS HSBC,5,35,35,,6.0,175,205.0,30.0,31.5,1.26,7.0,1.4,yes
115,129,28.12.2023,P850855,ORD,CAMS HSBC,96,5,5,,1.0,480,576.0,96.0,,12.095999999999998,67.19999999999999,0.7,yes
116,129,28.12.2023,P850478,ORD,CAMS HSBC,2533,5,5,,1.0,12665,15198.0,2533.0,,319.15799999999996,1773.1,0.7,yes
117,129,28.12.2023,P850478,ORD,CAMS HSBC,100,5,5,,1.0,500,600.0,100.0,,12.6,70.0,0.7,yes
118,129,28.12.2023,P850478,ORD,CAMS HSBC,2607,5,5,,1.0,13035,15642.0,2607.0,,328.48199999999997,1824.8999999999999,0.7,yes
119,129,28.12.2023,P850478,ORD,CAMS HSBC,1826,5,5,,1.0,9130,10956.0,1826.0,,230.07599999999996,1278.1999999999998,0.7,yes
120,129,28.12.2023,P850864,FREG,CAMS HSBC,1,179,175,4.0,32.5,179,211.5,32.5,,0.252,1.4,1.4,yes
121,129,29.12.2023,P850864,SPEED,CAMS HSBC,4,35,35,,6.0,140,164.0,24.0,,1.008,5.6,1.4,yes
122,129,29.12.2023,P850968,ORD,CAMS HSBC,1,5,5,,1.0,5,6.0,1.0,,0.126,0.7,0.7,yes
123,129,29.12.2023,P850968,ORD,CAMS HSBC,2,5,5,,1.0,10,12.0,2.0,,0.252,1.4,0.7,yes
124,129,29.12.2023,P850478,ORD,CAMS HSBC,400,5,5,,1.0,2000,2400.0,400.0,,50.4,280.0,0.7,yes
